p,d_40,eabc_p,e_d,a_d,b_d,c_d,omega_d,shell_d,H_d,E_d
1051,1011,B,1,0,0,0,2,1,1.0,-0.0
1061,1021,A,1,0,0,0,1,0,1.0,-0.0
1063,1023,B,0,0,1,1,3,1,0.5,1.0
1069,1029,E,0,0,3,0,4,1,1.0,-0.0
1087,1047,B,1,0,0,0,2,1,1.0,-0.0
1091,1051,C,0,0,1,0,1,0,1.0,-0.0
1093,1053,E,1,0,0,0,5,4,1.0,-0.0
1097,1057,A,0,0,2,0,2,0,1.0,-0.0
1103,1063,C,0,0,1,0,1,0,1.0,-0.0
1109,1069,A,1,0,0,0,1,0,1.0,-0.0
1117,1077,E,0,0,0,1,2,1,1.0,-0.0
1123,1083,B,0,0,2,0,3,1,1.0,-0.0
1129,1089,E,0,0,0,2,4,2,1.0,-0.0
1151,1111,C,0,1,0,1,2,0,0.5,1.0
1153,1113,E,0,1,1,0,3,1,0.5,1.0
1163,1123,C,0,0,1,0,1,0,1.0,-0.0
1171,1131,B,1,1,0,0,3,1,0.5,1.0
1181,1141,A,0,0,2,0,2,0,1.0,-0.0
1187,1147,C,1,0,1,0,2,0,0.5,1.0
1193,1153,A,1,0,0,0,1,0,1.0,-0.0
1201,1161,E,0,0,1,0,4,3,1.0,-0.0
1213,1173,E,0,1,0,1,3,1,0.5,1.0
1217,1177,A,0,0,0,2,2,0,1.0,-0.0
1223,1183,C,2,0,1,0,3,0,0.5555555555555556,0.9182958340544896
1229,1189,A,0,2,0,0,2,0,1.0,-0.0
1231,1191,B,1,0,0,0,2,1,1.0,-0.0
1237,1197,E,0,0,2,0,4,2,1.0,-0.0
1249,1209,E,1,0,1,0,3,1,0.5,1.0
1259,1219,C,0,1,0,1,2,0,0.5,1.0
1277,1237,A,1,0,0,0,1,0,1.0,-0.0
1279,1239,B,0,0,1,1,3,1,0.5,1.0
1283,1243,C,0,1,0,1,2,0,0.5,1.0
1289,1249,A,1,0,0,0,1,0,1.0,-0.0
1291,1251,B,0,0,1,0,3,2,1.0,-0.0
1297,1257,E,0,0,0,1,2,1,1.0,-0.0
1301,1261,A,2,0,0,0,2,0,1.0,-0.0
1303,1263,B,1,0,0,0,2,1,1.0,-0.0
1307,1267,C,1,0,1,0,2,0,0.5,1.0
